"Date Range","Anger","Disgust","Fear","Sadness","Happiness","Love","Surprise","Neutral","Other"
"2021-04-26/2021-05-02","0.08595532587426742","0.08163324151995188","0.07109277277825383","0.06729386443534642","0.15494644116864925","0.029384068655129107","0.22617197549625556","0.2071125786400163","0.0764097314321302"
"2021-05-03/2021-05-09","0.09234999014417761","0.07691190966008668","0.10536806213480306","0.0668047676767986","0.1402663368966486","0.028010065796795942","0.2231972164651043","0.18892083949708408","0.07817081172850113"
"2021-05-10/2021-05-16","0.11256712072654723","0.09634320532048679","0.09595973505930105","0.06689525194271703","0.11624301497379413","0.03256857848183522","0.23267831600803404","0.17115566886876873","0.07558910861851574"
"2021-05-17/2021-05-23","0.09472305569650145","0.08384106226902273","0.08145424678451799","0.08025787523783996","0.1313323748993655","0.026413032164060324","0.2401779914648881","0.19493775127823473","0.06686261020556919"
"2021-05-24/2021-05-30","0.09781161193813441","0.08094422731762595","0.07307369134942762","0.09020454783387456","0.15593816274565597","0.03386249825442477","0.2174996336363741","0.1735552832697119","0.07711034365477074"
"2021-05-31/2021-06-06","0.10095639367271232","0.07425525643795056","0.06669936240892212","0.09114510216774728","0.18272927092270022","0.027084092699359442","0.22922752167948193","0.16622516462322284","0.06167783538790328"
"2021-06-07/2021-06-13","0.09216104342111021","0.07218754677702452","0.07878581243416181","0.08650813556028239","0.1571764751069856","0.026694794914975985","0.2351923555039833","0.18594127947305722","0.06535255680841894"
"2021-06-14/2021-06-20","0.10142063001486647","0.10297781325053137","0.05587701016764012","0.07056949230359348","0.1315928368175246","0.03387816805596733","0.24345650536845637","0.18153271125444498","0.07869483276697528"
"2021-06-21/2021-06-27","0.06607930057243526","0.05781014517585689","0.05933399240008514","0.043993065411606844","0.20034704216506044","0.029693744162621216","0.245154375493918","0.23608550092471192","0.06150283369370431"
"2021-06-28/2021-07-04","0.11010022236443623","0.09524854621690246","0.06401672551501228","0.07258929661914573","0.13525188879828115","0.026457350286052735","0.23631794753588947","0.20663787260508906","0.053380150059190876"
"2021-07-05/2021-07-11","0.09744758171023161","0.0742406637704764","0.06230483514093504","0.06530660757824126","0.1449118480349258","0.03064085081885386","0.26224130888641856","0.1963945010300624","0.06651180302985503"
"2021-07-12/2021-07-18","0.08954735849848201","0.0714854162145863","0.05655434519885102","0.07611541451419987","0.15849802189396828","0.03421545004097479","0.2472760600629762","0.1972307485531032","0.06907718502285831"
